policy,threads,chunk,trial,rank,rows,escape_iterations
dynamic,4,256,2,0,256,1313697
dynamic,4,256,2,1,256,122585384
dynamic,4,256,2,2,256,78230988
dynamic,4,256,2,3,312,986810
dynamic,4,256,3,0,256,78230988
dynamic,4,256,3,1,256,122585384
dynamic,4,256,3,2,256,1313697
dynamic,4,256,3,3,312,986810
dynamic,8,1,1,0,145,27288964
dynamic,8,1,1,1,142,27044426
dynamic,8,1,1,2,111,19795728
dynamic,8,1,1,3,125,22015531
dynamic,8,1,1,4,123,27243757
dynamic,8,1,1,5,127,27171559
dynamic,8,1,1,6,131,25143475
dynamic,8,1,1,7,176,27413439
dynamic,8,1,2,0,147,27342981
dynamic,8,1,2,1,124,19894999
dynamic,8,1,2,2,144,27150186
dynamic,8,1,2,3,116,21124490
dynamic,8,1,2,4,134,27344397
dynamic,8,1,2,5,142,27111560
dynamic,8,1,2,6,142,27376657
dynamic,8,1,2,7,131,25771609
dynamic,8,1,3,0,124,20326762
dynamic,8,1,3,1,139,26913663
dynamic,8,1,3,2,133,27432025
dynamic,8,1,3,3,142,22624907
dynamic,8,1,3,4,144,27473025
dynamic,8,1,3,5,127,24718911
dynamic,8,1,3,6,137,27188735
dynamic,8,1,3,7,134,26438851
dynamic,8,16,1,0,112,27057131
dynamic,8,16,1,1,96,26746091
dynamic,8,16,1,2,264,19655571
dynamic,8,16,1,3,96,27485166
dynamic,8,16,1,4,224,25886521
dynamic,8,16,1,5,64,21329769
dynamic,8,16,1,6,112,27430750
dynamic,8,16,1,7,112,27525880
dynamic,8,16,2,0,312,27736919
dynamic,8,16,2,1,144,27560776
dynamic,8,16,2,2,112,25793977
dynamic,8,16,2,3,80,22645156
dynamic,8,16,2,4,80,22728823
dynamic,8,16,2,5,80,27467127
dynamic,8,16,2,6,160,22459952
dynamic,8,16,2,7,112,26724149
dynamic,8,16,3,0,64,21084858
dynamic,8,16,3,1,80,26023589
dynamic,8,16,3,2,96,26279998
dynamic,8,16,3,3,152,26446011
dynamic,8,16,3,4,272,25074081
dynamic,8,16,3,5,112,24008205
dynamic,8,16,3,6,192,27998198
dynamic,8,16,3,7,112,26201939
dynamic,8,64,1,0,128,39465028
dynamic,8,64,1,1,64,40976429
