policy,threads,chunk,trial,width,height,max_iter,seconds,work_imbalance,row_imbalance
dynamic,16,1,2,1920,1080,1000,0.044497999999975946,0.260798572037925,0.4444444444444444
dynamic,16,1,3,1920,1080,1000,0.042124000000058004,0.20663413206541048,0.2962962962962963
dynamic,16,16,1,1920,1080,1000,0.043069799999784664,0.37218397787610746,1.1851851851851851
dynamic,16,16,2,1920,1080,1000,0.041419899999937115,0.27509812219987884,1.8962962962962964
dynamic,16,16,3,1920,1080,1000,0.040685700000040015,0.29889021679975697,1.4222222222222223
dynamic,16,64,1,1920,1080,1000,0.11939439999991919,3.956249209599169,1.8962962962962964
dynamic,16,64,2,1920,1080,1000,0.12795410000012453,3.956249209599169,1.8962962962962964
dynamic,16,64,3,1920,1080,1000,0.12062790000004497,3.9689764630540627,3.674074074074074
dynamic,16,256,1,1920,1080,1000,0.27910560000009355,9.656342464773694,3.7925925925925927
dynamic,16,256,2,1920,1080,1000,0.276339999999891,9.656342464773694,3.7925925925925927
dynamic,16,256,3,1920,1080,1000,0.2713625999999749,9.656342464773694,3.7925925925925927
guided,2,1,1,1920,1080,1000,0.22276970000007168,0.003224439067912224,0.5
guided,2,1,2,1920,1080,1000,0.23135720000004767,0.007924629444508155,1.0
guided,2,1,3,1920,1080,1000,0.23063660000002528,0.007924629444508155,1.0
guided,2,16,1,1920,1080,1000,0.2295050000000174,0.007924629444508155,1.0
guided,2,16,2,1920,1080,1000,0.2253493000000617,0.0023197973615969158,0.6259259259259259
guided,2,16,3,1920,1080,1000,0.2237032000000454,0.007089504363642768,0.937037037037037
guided,2,64,1,1920,1080,1000,0.2210850000001301,0.0078016460660563815,0.9888888888888889
guided,2,64,2,1920,1080,1000,0.22273180000001958,0.0037387636307665006,0.737037037037037
guided,2,64,3,1920,1080,1000,0.22291810000001533,0.0037387636307665006,0.737037037037037
guided,2,256,1,1920,1080,1000,0.2210187999999107,0.007311386465326695,0.9481481481481482
guided,2,256,2,1920,1080,1000,0.23147370000015144,0.007311386465326695,0.9481481481481482
guided,2,256,3,1920,1080,1000,0.2317332999998598,0.007311386465326695,0.9481481481481482
guided,4,1,1,1920,1080,1000,0.24601370000004863,2.057705721246337,1.8407407407407408
guided,4,1,2,1920,1080,1000,0.25304129999994984,2.057705721246337,1.8407407407407408
guided,4,1,3,1920,1080,1000,0.24537080000004607,2.057705721246337,1.8407407407407408
guided,4,16,1,1920,1080,1000,0.2423102000000199,2.057705721246337,1.8407407407407408
guided,4,16,2,1920,1080,1000,0.23932080000008682,2.057705721246337,1.8407407407407408
guided,4,16,3,1920,1080,1000,0.24088050000000294,2.057705721246337,1.8407407407407408
guided,4,64,1,1920,1080,1000,0.23975659999996424,2.057705721246337,1.8407407407407408
guided,4,64,2,1920,1080,1000,0.24021190000007664,2.057705721246337,1.8407407407407408
guided,4,64,3,1920,1080,1000,0.23966810000001715,2.057705721246337,1.8407407407407408
guided,4,256,1,1920,1080,1000,0.24309189999985392,2.1897593847924375,0.2074074074074074
guided,4,256,2,1920,1080,1000,0.24328600000012557,2.1897593847924375,0.2074074074074074
guided,4,256,3,1920,1080,1000,0.24472610000020723,2.1897593847924375,0.2074074074074074
