variant,threads,n,trial,seconds,pi,absolute_error
reduction,1,100000000,2,0.1672267000001284,3.1415926535904264,6.332712132461893e-13
reduction,1,100000000,3,0.16579720000004272,3.1415926535904264,6.332712132461893e-13
reduction,1,100000000,4,0.16518900000005488,3.1415926535904264,6.332712132461893e-13
reduction,1,100000000,5,0.16742419999991398,3.1415926535904264,6.332712132461893e-13
reduction,2,100000000,1,0.0846187000001919,3.1415926535899095,1.163513729807164e-13
reduction,2,100000000,2,0.08383820000017295,3.1415926535899095,1.163513729807164e-13
reduction,2,100000000,3,0.08485930000006192,3.1415926535899095,1.163513729807164e-13
reduction,2,100000000,4,0.08487589999981537,3.1415926535899095,1.163513729807164e-13
reduction,2,100000000,5,0.0844529999999395,3.1415926535899095,1.163513729807164e-13
reduction,4,100000000,1,0.043528300000161835,3.1415926535896825,1.1057821325266559e-13
reduction,4,100000000,2,0.04397479999988718,3.1415926535896825,1.1057821325266559e-13
reduction,4,100000000,3,0.043859699999984514,3.1415926535896825,1.1057821325266559e-13
reduction,4,100000000,4,0.044388700000126846,3.1415926535896825,1.1057821325266559e-13
reduction,4,100000000,5,0.043775300000106654,3.1415926535896825,1.1057821325266559e-13
reduction,8,100000000,1,0.0546735999998873,3.141592653589815,2.1760371282653068e-14
reduction,8,100000000,2,0.05395840000005592,3.141592653589815,2.1760371282653068e-14
reduction,8,100000000,3,0.038906799999949726,3.141592653589815,2.1760371282653068e-14
reduction,8,100000000,4,0.03675169999996797,3.141592653589815,2.1760371282653068e-14
reduction,8,100000000,5,0.037518800000043484,3.141592653589815,2.1760371282653068e-14
reduction,16,100000000,1,0.038583699999890086,3.1415926535898824,8.926193117986259e-14
reduction,16,100000000,2,0.028240399999958754,3.1415926535898824,8.926193117986259e-14
reduction,16,100000000,3,0.02834479999978612,3.1415926535898824,8.926193117986259e-14
reduction,16,100000000,4,0.026310399999829315,3.1415926535898824,8.926193117986259e-14
reduction,16,100000000,5,0.028151299999990442,3.1415926535898824,8.926193117986259e-14
